llm,cohort,question,mean_en,mean_zh,delta,delta_ci_lo,delta_ci_hi
deepseek-v4-flash,Chinese,A008,2.0,2.0,0.0,0.0,0.0
deepseek-v4-flash,Chinese,A165,2.0,1.8,-0.19999999999999996,-0.41999999999999993,0.0
deepseek-v4-flash,Chinese,E018,1.38,1.5,0.1200000000000001,-0.10000000000000009,0.3400000000000001
deepseek-v4-flash,Chinese,E025,1.18,1.64,0.45999999999999996,0.26,0.6399999999999999
deepseek-v4-flash,Chinese,F063,6.28,6.4,0.1200000000000001,-0.5200000000000005,0.7400000000000002
deepseek-v4-flash,Chinese,F118,8.7,9.48,0.7800000000000011,0.01949999999999961,1.5399999999999991
deepseek-v4-flash,Chinese,F120,4.96,6.14,1.1799999999999997,0.6399999999999997,1.7199999999999998
deepseek-v4-flash,Chinese,G006,1.92,2.0,0.08000000000000007,0.0,0.19999999999999996
deepseek-v4-flash,Chinese,Y002,1.54,1.06,-0.48,-0.78,-0.21999999999999997
deepseek-v4-flash,Chinese,Y003,1.26,2.0,0.74,0.5800000000000001,0.8600000000000001
deepseek-v4-flash:0731,Chinese,A008,1.8,1.74,-0.06000000000000005,-0.2200000000000002,0.1200000000000001
deepseek-v4-flash:0731,Chinese,A165,1.72,1.04,-0.6799999999999999,-0.8599999999999999,-0.48
deepseek-v4-flash:0731,Chinese,E018,1.3,1.58,0.28,0.08000000000000007,0.5
deepseek-v4-flash:0731,Chinese,E025,1.18,1.82,0.6400000000000001,0.45999999999999996,0.7999999999999998
deepseek-v4-flash:0731,Chinese,F063,6.86,6.3,-0.5600000000000005,-1.2599999999999998,0.2400000000000002
deepseek-v4-flash:0731,Chinese,F118,9.7,9.06,-0.6399999999999988,-1.1600000000000001,-0.14000000000000057
deepseek-v4-flash:0731,Chinese,F120,5.24,6.5,1.2599999999999998,1.0,1.5
deepseek-v4-flash:0731,Chinese,G006,1.52,1.5,-0.020000000000000018,-0.26,0.22049999999999745
deepseek-v4-flash:0731,Chinese,Y002,1.8,1.94,0.1399999999999999,-0.26,0.56
deepseek-v4-flash:0731,Chinese,Y003,1.32,1.98,0.6599999999999999,0.52,0.8
deepseek-v4-pro,Chinese,A008,2.0,2.0,0.0,0.0,0.0
deepseek-v4-pro,Chinese,A165,2.0,1.84,-0.15999999999999992,-0.3600000000000001,-0.020000000000000018
deepseek-v4-pro,Chinese,E018,2.08,2.06,-0.020000000000000018,-0.4399999999999997,0.3600000000000001
deepseek-v4-pro,Chinese,E025,1.52,1.82,0.30000000000000004,0.1399999999999999,0.48
deepseek-v4-pro,Chinese,F063,5.6,6.06,0.45999999999999996,-0.3799999999999999,1.3204999999999976
deepseek-v4-pro,Chinese,F118,8.62,9.96,1.3400000000000016,0.6000000000000014,2.0200000000000005
deepseek-v4-pro,Chinese,F120,5.0,6.7,1.7000000000000002,1.38,2.000499999999997
deepseek-v4-pro,Chinese,G006,2.18,2.02,-0.16000000000000014,-0.5,0.040000000000000036
deepseek-v4-pro,Chinese,Y002,1.42,1.08,-0.33999999999999986,-0.72,0.0
deepseek-v4-pro,Chinese,Y003,1.4,2.0,0.6000000000000001,0.3999999999999999,0.78
gemma4:31b,Western,A008,2.0,1.82,-0.17999999999999994,-0.43999999999999995,0.0
gemma4:31b,Western,A165,2.0,1.66,-0.3400000000000001,-0.54,-0.15999999999999992
gemma4:31b,Western,E018,2.0,2.56,0.56,0.2799999999999998,0.8399999999999999
gemma4:31b,Western,E025,1.52,2.0,0.48,0.19949999999999998,0.78
gemma4:31b,Western,F063,5.0,4.2,-0.7999999999999998,-2.0,0.0
gemma4:31b,Western,F118,10.0,10.0,0.0,0.0,0.0
gemma4:31b,Western,F120,5.0,5.0,0.0,0.0,0.0
gemma4:31b,Western,G006,1.9333333333333333,1.1,-0.8333333333333333,-0.98,-0.6466666666666667
gemma4:31b,Western,Y002,2.1,2.14,0.040000000000000036,-0.21999999999999975,0.31999999999999984
gemma4:31b,Western,Y003,2.0,2.0,0.0,0.0,0.0
glm-5.1,Chinese,A008,2.0,2.0,0.0,0.0,0.0
glm-5.1,Chinese,A165,1.98,1.4,-0.5800000000000001,-0.8400000000000001,-0.32000000000000006
glm-5.1,Chinese,E018,1.92,2.46,0.54,-0.040000000000000036,1.0199999999999998
glm-5.1,Chinese,E025,1.06,1.2,0.1399999999999999,0.0,0.26
glm-5.1,Chinese,F063,6.94,6.2,-0.7400000000000002,-1.5005,0.040000000000000036
glm-5.1,Chinese,F118,9.96,9.28,-0.6800000000000015,-1.1600000000000001,-0.1999999999999993
glm-5.1,Chinese,F120,5.18,5.14,-0.040000000000000036,-0.2400000000000002,0.16000000000000014
glm-5.1,Chinese,G006,2.08,1.74,-0.3400000000000001,-0.6200000000000001,-0.040000000000000036
glm-5.1,Chinese,Y002,1.48,1.32,-0.15999999999999992,-0.6600000000000001,0.33999999999999986
glm-5.1,Chinese,Y003,1.2,1.94,0.74,0.48,0.9804999999999973
glm-5.2,Chinese,A008,1.82,2.0,0.17999999999999994,0.10000000000000009,0.26
glm-5.2,Chinese,A165,1.6,1.28,-0.32000000000000006,-0.5799999999999998,-0.05999999999999983
glm-5.2,Chinese,E018,1.28,1.54,0.26,-0.15999999999999992,0.72
glm-5.2,Chinese,E025,1.06,1.22,0.15999999999999992,0.020000000000000018,0.32000000000000006
glm-5.2,Chinese,F063,7.34,7.22,-0.1200000000000001,-0.5800000000000001,0.3199999999999994
glm-5.2,Chinese,F118,9.26,9.08,-0.17999999999999972,-0.8599999999999994,0.4800000000000004
glm-5.2,Chinese,F120,5.7,7.0,1.2999999999999998,0.8795,1.6799999999999997
glm-5.2,Chinese,G006,1.66,1.78,0.1200000000000001,-0.10050000000000006,0.3799999999999999
glm-5.2,Chinese,Y002,1.8979591836734695,1.72,-0.17795918367346952,-0.74,0.4140652173913036
glm-5.2,Chinese,Y003,1.08,2.0,0.9199999999999999,0.76,1.08
gpt-oss:120b,Western,A008,1.98,2.0,0.020000000000000018,0.0,0.06000000000000005
gpt-oss:120b,Western,A165,1.02,1.02,0.0,-0.06000000000000005,0.06000000000000005
gpt-oss:120b,Western,E018,2.3,2.14,-0.1599999999999997,-0.41999999999999993,0.11999999999999966
gpt-oss:120b,Western,E025,1.82,1.86,0.040000000000000036,-0.08000000000000007,0.16000000000000014
gpt-oss:120b,Western,F063,5.82,6.48,0.6600000000000001,0.2599999999999998,1.04
gpt-oss:120b,Western,F118,9.21951219512195,9.394736842105264,0.1752246469833132,-0.48049211130267394,0.7602422544495725
gpt-oss:120b,Western,F120,5.755102040816326,6.170212765957447,0.4151107251411208,0.10039795918367334,0.7402637604070306
gpt-oss:120b,Western,G006,2.0,1.98,-0.020000000000000018,-0.06000000000000005,0.0
gpt-oss:120b,Western,Y002,2.12,2.58,0.45999999999999996,0.16000000000000014,0.7400000000000002
gpt-oss:120b,Western,Y003,1.84,1.84,0.0,-0.10000000000000009,0.10000000000000009
gpt-oss:20b,Western,A008,1.92,2.0,0.08000000000000007,-0.06000000000000005,0.24
gpt-oss:20b,Western,A165,1.0,1.06,0.06000000000000005,0.0,0.1200000000000001
gpt-oss:20b,Western,E018,2.04,2.58,0.54,0.2200000000000002,0.8400000000000001
gpt-oss:20b,Western,E025,2.12,2.63265306122449,0.5126530612244897,0.25997916666666643,0.7591521739130436
gpt-oss:20b,Western,F063,5.96,6.46,0.5,0.040000000000000036,0.96
gpt-oss:20b,Western,F118,8.02,7.72,-0.2999999999999998,-0.8399999999999999,0.2400000000000002
gpt-oss:20b,Western,F120,5.5,5.52,0.019999999999999574,-0.23999999999999935,0.27999999999999936
gpt-oss:20b,Western,G006,1.88,2.06,0.18000000000000016,0.0,0.3600000000000001
gpt-oss:20b,Western,Y002,2.12,2.04,-0.08000000000000007,-0.41999999999999993,0.2400000000000002
gpt-oss:20b,Western,Y003,1.5,1.44,-0.06000000000000005,-0.24,0.1200000000000001
kimi-k2.6,Chinese,A008,2.0,2.0,0.0,0.0,0.0
kimi-k2.6,Chinese,A165,1.94,1.12,-0.8199999999999998,-0.98,-0.6199999999999999
kimi-k2.6,Chinese,E018,1.94,1.88,-0.06000000000000005,-0.3400000000000001,0.21999999999999997
kimi-k2.6,Chinese,E025,1.4,1.98,0.5800000000000001,0.3799999999999999,0.7604999999999973
kimi-k2.6,Chinese,F063,6.42,5.88,-0.54,-1.3000000000000007,0.33999999999999986
kimi-k2.6,Chinese,F118,9.16,9.96,0.8000000000000007,0.28000000000000114,1.3399999999999999
kimi-k2.6,Chinese,F120,5.06,5.88,0.8200000000000003,0.5,1.1400000000000006
kimi-k2.6,Chinese,G006,2.04,1.98,-0.06000000000000005,-0.1405000000000001,0.0
kimi-k2.6,Chinese,Y002,1.74,1.72,-0.020000000000000018,-0.6400000000000001,0.5800000000000001
kimi-k2.6,Chinese,Y003,1.5,1.96,0.45999999999999996,0.24,0.6799999999999999
kimi-k2.7-code,Chinese,A008,1.98,1.98,0.0,-0.06000000000000005,0.06000000000000005
