question,valid_lo,valid_hi,midpoint,half_range,d_pc1_per_unit,d_pc2_per_unit,survival_pole,traditional_pole
A008,1,4,2.5,1.5,-0.8199997636593246,0.8589877077914547,high,low
A165,1,2,1.5,0.5,-0.999435961565436,0.09301771411746469,high,low
E018,1,3,2.0,1.0,0.01053358754952699,0.5201844317919708,low,low
E025,1,3,2.0,1.0,-0.5642091264620862,-0.12418546240504501,high,high
F063,1,10,5.5,4.5,-0.08707360352722093,-0.14468635375073544,high,high
F118,1,10,5.5,4.5,0.16050927464242337,0.06703343894627663,low,low
F120,1,10,5.5,4.5,0.14345658660412275,0.11109519362665313,low,low
G006,1,4,2.5,1.5,-0.29939196090508247,0.8940314046648689,high,low
Y002,1,3,2.0,1.0,0.5965139403216986,-0.0027528067572542402,low,high
Y003,-2,2,0.0,2.0,0.20380841004783457,0.2489532049249433,low,low
