llm,language,question,cell_mean,human_mean,deviation
deepseek-v4-flash,en,A008,2.0,1.8940956844165207,0.10590431558347935
deepseek-v4-flash,en,A165,2.0,1.725242213665311,0.27475778633468906
deepseek-v4-flash,en,E018,1.38,1.5382356037761826,-0.15823560377618273
deepseek-v4-flash,en,E025,1.18,2.1284750618856036,-0.9484750618856037
deepseek-v4-flash,en,F063,6.28,7.193040862318783,-0.9130408623187831
deepseek-v4-flash,en,F118,8.7,3.908931859780304,4.791068140219695
deepseek-v4-flash,en,F120,4.96,3.8433709515859764,1.1166290484140236
deepseek-v4-flash,en,G006,1.92,1.5703838341780836,0.34961616582191635
deepseek-v4-flash,en,Y002,1.54,1.7971119403583096,-0.25711194035830953
deepseek-v4-flash,en,Y003,1.26,0.0881391262468347,1.1718608737531653
deepseek-v4-flash:0731,en,A008,1.8,1.8940956844165207,-0.09409568441652061
deepseek-v4-flash:0731,en,A165,1.72,1.725242213665311,-0.0052422136653109686
deepseek-v4-flash:0731,en,E018,1.3,1.5382356037761826,-0.23823560377618258
deepseek-v4-flash:0731,en,E025,1.18,2.1284750618856036,-0.9484750618856037
deepseek-v4-flash:0731,en,F063,6.86,7.193040862318783,-0.33304086231878305
deepseek-v4-flash:0731,en,F118,9.7,3.908931859780304,5.791068140219695
deepseek-v4-flash:0731,en,F120,5.24,3.8433709515859764,1.3966290484140238
deepseek-v4-flash:0731,en,G006,1.52,1.5703838341780836,-0.050383834178083564
deepseek-v4-flash:0731,en,Y002,1.8,1.7971119403583096,0.002888059641690477
deepseek-v4-flash:0731,en,Y003,1.32,0.0881391262468347,1.2318608737531653
deepseek-v4-pro,en,A008,2.0,1.8940956844165207,0.10590431558347935
deepseek-v4-pro,en,A165,2.0,1.725242213665311,0.27475778633468906
deepseek-v4-pro,en,E018,2.08,1.5382356037761826,0.5417643962238174
deepseek-v4-pro,en,E025,1.52,2.1284750618856036,-0.6084750618856036
deepseek-v4-pro,en,F063,5.6,7.193040862318783,-1.5930408623187837
deepseek-v4-pro,en,F118,8.62,3.908931859780304,4.7110681402196946
deepseek-v4-pro,en,F120,5.0,3.8433709515859764,1.1566290484140236
deepseek-v4-pro,en,G006,2.18,1.5703838341780836,0.6096161658219166
deepseek-v4-pro,en,Y002,1.42,1.7971119403583096,-0.37711194035830964
deepseek-v4-pro,en,Y003,1.4,0.0881391262468347,1.3118608737531652
gemma4:31b,en,A008,2.0,1.8940956844165207,0.10590431558347935
gemma4:31b,en,A165,2.0,1.725242213665311,0.27475778633468906
gemma4:31b,en,E018,2.0,1.5382356037761826,0.4617643962238174
gemma4:31b,en,E025,1.52,2.1284750618856036,-0.6084750618856036
gemma4:31b,en,F063,5.0,7.193040862318783,-2.1930408623187834
gemma4:31b,en,F118,10.0,3.908931859780304,6.091068140219695
gemma4:31b,en,F120,5.0,3.8433709515859764,1.1566290484140236
gemma4:31b,en,G006,1.9333333333333333,1.5703838341780836,0.36294949915524977
gemma4:31b,en,Y002,2.1,1.7971119403583096,0.3028880596416905
gemma4:31b,en,Y003,2.0,0.0881391262468347,1.9118608737531653
glm-5.1,en,A008,2.0,1.8940956844165207,0.10590431558347935
