llm,language,cohort,n_items,mean_dev_all,mean_dev_pc1_pos_keyed,mean_dev_pc1_neg_keyed,mean_dev_pc2_pos_keyed,mean_dev_pc2_neg_keyed
deepseek-v4-flash,en,Chinese,10,-0.02255555555555557,0.02822222222222217,-0.07333333333333333,0.12587301587301583,-0.3688888888888889
deepseek-v4-flash:0731,en,Chinese,10,-0.05622222222222221,0.12711111111111112,-0.23955555555555552,0.022222222222222223,-0.23925925925925925
deepseek-v4-pro,en,Chinese,10,0.07777777777777777,0.15644444444444439,-0.0008888888888888668,0.25936507936507935,-0.34592592592592597
gemma4:31b,en,Western,10,0.1686666666666667,0.3977777777777778,-0.060444444444444426,0.31111111111111117,-0.16370370370370368
glm-5.1,en,Chinese,10,0.06466666666666668,0.184,-0.05466666666666663,0.2552380952380952,-0.37999999999999995
glm-5.2,en,Chinese,10,-0.07464852607709746,0.11959183673469391,-0.26888888888888884,-0.01619047619047617,-0.21105064247921387
gpt-oss:120b,en,Western,10,0.0474358719097395,0.44464952159725674,-0.34977777777777774,0.06617822971232623,0.003703703703703783
gpt-oss:20b,en,Western,10,-0.010777777777777775,0.29400000000000004,-0.31555555555555553,-0.06428571428571431,0.11407407407407415
kimi-k2.6,en,Chinese,10,0.09899999999999999,0.2291111111111111,-0.031111111111111135,0.23507936507936503,-0.21851851851851856
kimi-k2.7-code,en,Chinese,10,0.079,0.19311111111111115,-0.03511111111111115,0.1893650793650794,-0.1785185185185186
minimax-m2.7,en,Chinese,10,0.11844444444444449,0.2413333333333334,-0.004444444444444429,0.14380952380952383,0.05925925925925929
minimax-m3,en,Chinese,10,-0.000666666666666682,0.06177777777777778,-0.06311111111111113,0.15269841269841272,-0.3585185185185185
mistral-large-3:675b,en,Western,10,0.1925555555555556,0.3042222222222223,0.08088888888888891,0.34492063492063496,-0.16296296296296295
nemotron-3-nano:30b,en,Western,10,0.0654920634920635,0.2643174603174604,-0.13333333333333336,0.06022675736961452,0.07777777777777778
nemotron-3-super,en,Western,10,0.017555555555555564,0.14666666666666667,-0.11155555555555555,0.09809523809523811,-0.17037037037037037
nemotron-3-ultra,en,Western,10,0.03777700428830533,0.22664773495605134,-0.15109372637944068,0.1371682071843515,-0.19413580246913573
qwen3.5:397b,en,Chinese,10,0.017501182033096918,0.1496690307328605,-0.11466666666666665,0.2573826409996623,-0.5422222222222223
deepseek-v4-flash,zh,Chinese,10,0.03600000000000003,0.11733333333333336,-0.045333333333333316,0.2085714285714286,-0.3666666666666667
deepseek-v4-flash:0731,zh,Chinese,10,-0.057222222222222195,0.3046666666666667,-0.4191111111111111,-0.07285714285714283,-0.020740740740740754
deepseek-v4-pro,zh,Chinese,10,0.13688888888888895,0.27955555555555567,-0.005777777777777748,0.334920634920635,-0.3251851851851852
gemma4:31b,zh,Western,10,0.12333333333333336,0.5177777777777778,-0.27111111111111114,0.19746031746031742,-0.04962962962962958
glm-5.1,zh,Chinese,10,-0.017444444444444485,0.30199999999999994,-0.3368888888888889,0.1642857142857142,-0.44148148148148153
glm-5.2,zh,Chinese,10,-0.026222222222222213,0.2777777777777778,-0.3302222222222222,0.059365079365079385,-0.22592592592592595
gpt-oss:120b,zh,Western,10,0.10922110240139364,0.5308866492472316,-0.3124444444444444,0.06206189231945118,0.21925925925925935
gpt-oss:20b,zh,Western,10,0.11770975056689344,0.3675555555555555,-0.13213605442176865,0.04158730158730161,0.2953287981859411
kimi-k2.6,zh,Chinese,10,0.028000000000000014,0.3311111111111111,-0.2751111111111111,0.07079365079365084,-0.07185185185185188
kimi-k2.7-code,zh,Chinese,10,0.1352222222222222,0.3806666666666666,-0.1102222222222222,0.16904761904761906,0.0562962962962962
minimax-m2.7,zh,Chinese,10,-0.04720408163265312,0.18381405895691608,-0.27822222222222226,-0.009656624554583795,-0.13481481481481486
minimax-m3,zh,Chinese,10,0.06669794066754549,0.21249338700402526,-0.0790975056689343,0.1789335660330015,-0.1951851851851852
mistral-large-3:675b,zh,Western,10,0.17544444444444446,0.5775555555555556,-0.22666666666666666,0.2315873015873016,0.04444444444444443
nemotron-3-nano:30b,zh,Western,10,0.016083333333333373,0.25172222222222224,-0.21955555555555545,-0.028769841269841247,0.12074074074074082
nemotron-3-super,zh,Western,10,0.04255782312925166,0.2620045351473922,-0.17688888888888893,0.10619371558147066,-0.10592592592592602
nemotron-3-ultra,zh,Western,10,0.061684840043738275,0.307358024691358,-0.18398834460388147,0.12191226687680588,-0.07884582256675281
qwen3.5:397b,zh,Chinese,10,-0.09333333333333335,0.20977777777777776,-0.3964444444444445,0.027936507936507926,-0.37629629629629635
