llm,language,attempted,parsed,n_failed,computable,obs_pc1,obs_pc2,worst_pc1_pc1,worst_pc1_pc2,worst_pc2_pc1,worst_pc2_pc2,pc1_side_vs_human_preserved,pc2_side_vs_human_preserved
deepseek-v4-flash,en,500,500,0,True,1.5415195685875012,1.3243355417684464,1.5415195685875012,1.3243355417684464,1.5415195685875012,1.3243355417684464,True,True
deepseek-v4-flash:0731,en,500,500,0,True,2.42177224584806,0.7557091943728838,2.42177224584806,0.7557091943728838,2.42177224584806,0.7557091943728838,True,True
deepseek-v4-pro,en,500,500,0,True,1.2882791434991132,2.0113413906982034,1.2882791434991132,2.0113413906982034,1.2882791434991132,2.0113413906982034,True,True
gemma4:31b,en,500,472,28,True,2.1629479600887374,2.076016862027181,1.837113502150101,2.0563681960515456,1.926931090421626,1.7881587746520848,True,True
glm-5.1,en,500,500,0,True,1.7153130222784143,1.7599601191933716,1.7153130222784143,1.7599601191933716,1.7153130222784143,1.7599601191933716,True,True
glm-5.2,en,500,499,1,True,2.513974734394916,0.7835309805872729,2.5032618309768937,0.783580418749444,2.5271223885897616,0.7834703064791538,True,True
gpt-oss:120b,en,500,490,10,True,2.8637024801534885,2.0191205793136646,2.612584036735248,1.9093784092729051,2.612584036735248,1.9093784092729051,True,True
gpt-oss:20b,en,500,500,0,True,2.4862026855263677,1.4722853857009681,2.4862026855263677,1.4722853857009681,2.4862026855263677,1.4722853857009681,True,True
kimi-k2.6,en,500,500,0,True,1.6915379191568296,1.7709077471389618,1.6915379191568296,1.7709077471389618,1.6915379191568296,1.7709077471389618,True,True
kimi-k2.7-code,en,500,500,0,True,1.7952539264973626,1.6989935994528105,1.7952539264973626,1.6989935994528105,1.7952539264973626,1.6989935994528105,True,True
minimax-m2.7,en,500,500,0,True,1.8512469402103227,1.3687590295309522,1.8512469402103227,1.3687590295309522,1.8512469402103227,1.3687590295309522,True,True
minimax-m3,en,500,500,0,True,1.079034574428595,1.420487134206148,1.079034574428595,1.420487134206148,1.079034574428595,1.420487134206148,True,True
mistral-large-3:675b,en,500,500,0,True,1.0948573013944747,2.0891515767981454,1.0948573013944747,2.0891515767981454,1.0948573013944747,2.0891515767981454,True,True
nemotron-3-nano:30b,en,500,499,1,True,1.9244421823661124,1.6478678191519498,1.9093021290482732,1.6293741525003826,1.9093021290482732,1.6293741525003826,True,True
nemotron-3-super,en,500,500,0,True,1.773805953366796,1.647273751692758,1.773805953366796,1.647273751692758,1.773805953366796,1.647273751692758,True,True
nemotron-3-ultra,en,500,460,40,True,2.1787097848110997,1.6400134424981156,1.4201512119908686,1.245270637381441,1.4381147296451737,1.191628753101549,True,True
qwen3.5:397b,en,500,497,3,True,1.7054025926161374,1.781020841045909,1.6706067396951374,1.7540743472726354,1.6706067396951374,1.7540743472726354,True,True
deepseek-v4-flash,zh,500,500,0,True,1.607701942433236,1.7341140977222569,1.607701942433236,1.7341140977222569,1.607701942433236,1.7341140977222569,True,True
deepseek-v4-flash:0731,zh,500,500,0,True,3.143248171930246,1.031236826623571,3.143248171930246,1.031236826623571,3.143248171930246,1.031236826623571,True,True
deepseek-v4-pro,zh,500,500,0,True,1.6649932753494379,2.1681929962160926,1.6649932753494379,2.1681929962160926,1.6649932753494379,2.1681929962160926,True,True
gemma4:31b,zh,500,496,4,True,2.728447313994478,1.492080111850104,2.682541206281159,1.456529649889575,2.682541206281159,1.456529649889575,True,True
glm-5.1,zh,500,500,0,True,2.328403895639204,1.9072599721227728,2.328403895639204,1.9072599721227728,2.328403895639204,1.9072599721227728,True,True
glm-5.2,zh,500,500,0,True,2.812131850805014,1.510292077241722,2.812131850805014,1.510292077241722,2.812131850805014,1.510292077241722,True,True
gpt-oss:120b,zh,500,485,15,True,3.1336399679302844,1.891326210270948,2.765753954283323,1.721808323873369,2.765753954283323,1.721808323873369,True,True
gpt-oss:20b,zh,500,499,1,True,1.8744205229490802,1.8197983812755136,1.8702753130403793,1.8188859982864156,1.8702753130403793,1.8188859982864156,True,True
kimi-k2.6,zh,500,500,0,True,2.576048773143399,1.8751816745371979,2.576048773143399,1.8751816745371979,2.576048773143399,1.8751816745371979,True,True
kimi-k2.7-code,zh,500,500,0,True,2.369701903019055,1.9894396947043536,2.369701903019055,1.9894396947043536,2.369701903019055,1.9894396947043536,True,True
minimax-m2.7,zh,500,499,1,True,2.3035324103162806,1.2377419434689445,2.289069644238233,1.2265417341522986,2.289069644238233,1.2265417341522986,True,True
minimax-m3,zh,500,481,19,True,1.6989163596004286,1.601398376899589,1.2734319746440106,1.4404213185398822,1.2913954922983155,1.3867794342599902,True,True
mistral-large-3:675b,zh,500,500,0,True,2.602600583168607,2.0283916017430914,2.602600583168607,2.0283916017430914,2.602600583168607,2.0283916017430914,True,True
nemotron-3-nano:30b,zh,500,498,2,True,2.086257959742006,1.7228351059550957,2.056026378918244,1.6859070472245623,2.056026378918244,1.6859070472245623,True,True
nemotron-3-super,zh,500,499,1,True,2.233522857258089,1.9168861819827265,2.2198798431034934,1.9063208023439466,2.2198798431034934,1.9063208023439466,True,True
nemotron-3-ultra,zh,500,412,88,True,2.3426165986962024,1.7302454476205225,0.7399586758471884,0.8854807269348086,0.7938492288101033,0.7245550740951321,True,True
qwen3.5:397b,zh,500,499,1,True,2.4339453444244183,1.4838528777299544,2.4224688174960884,1.4749652622398224,2.4224688174960884,1.4749652622398224,True,True
