llm,language,obs_pc1,obs_pc2,neut_pc1,neut_pc2,displacement
deepseek-v4-flash,en,1.5415195685875012,1.3243355417684464,0.6123209048499283,0.8791216477608771,1.0303521573273258
deepseek-v4-flash:0731,en,2.42177224584806,0.7557091943728838,1.2918964632189098,0.21235520720357506,1.2537355540721575
deepseek-v4-pro,en,1.2882791434991132,2.0113413906982034,0.3661829582687696,1.5670463640612702,1.0235523657882215
gemma4:31b,en,2.1629479600887374,2.076016862027181,1.0193489758518495,1.5392156896443856,1.2633186990697103
glm-5.1,en,1.7153130222784143,1.7599601191933716,0.552312223438481,1.2058431495156299,1.288261027194088
glm-5.2,en,2.513974734394916,0.7835309805872729,1.3887330027705356,0.21856791748606516,1.2591077067740208
gpt-oss:120b,en,2.8637024801534885,2.0191205793136646,1.7370546660315158,1.4507499811151041,1.26189557173421
gpt-oss:20b,en,2.4862026855263677,1.4722853857009681,1.5886837717794164,1.012662825618474,1.0083615910328463
kimi-k2.6,en,1.6915379191568296,1.7709077471389618,0.67415933042333,1.2837489518534402,1.1279995056015797
kimi-k2.7-code,en,1.7952539264973626,1.6989935994528105,0.7823090366538208,1.2003787479503907,1.1290146677518966
minimax-m2.7,en,1.8512469402103227,1.3687590295309522,0.8209465583283321,0.8475409701719411,1.1546372340731736
minimax-m3,en,1.079034574428595,1.420487134206148,0.2535850077444714,1.0155309358433735,0.9194327108230586
mistral-large-3:675b,en,1.0948573013944747,2.0891515767981454,-0.05889679614415877,1.4436950619624245,1.322029738746849
nemotron-3-nano:30b,en,1.9244421823661124,1.6478678191519498,1.1630556238930034,1.2604532117462919,0.8542830733748651
nemotron-3-super,en,1.773805953366796,1.647273751692758,0.8068268217054306,1.1647845578144735,1.0806685260883122
nemotron-3-ultra,en,2.1787097848110997,1.6400134424981156,0.9732643582684399,1.0367895780340015,1.3479531546131842
qwen3.5:397b,en,1.7054025926161374,1.781020841045909,0.5556990727790738,1.239492213615171,1.2708546092503077
deepseek-v4-flash,zh,1.607701942433236,1.7341140977222569,0.3840272722817083,1.1055217928571413,1.375684551089416
deepseek-v4-flash:0731,zh,3.143248171930246,1.031236826623571,1.9353430259510516,0.3908042964102962,1.3671827483692134
deepseek-v4-pro,zh,1.6649932753494379,2.1681929962160926,0.28393846487123775,1.4452113322258378,1.5588504982874705
gemma4:31b,zh,2.728447313994478,1.492080111850104,1.5848483297575897,0.9552789394673088,1.2633186990697107
glm-5.1,zh,2.328403895639204,1.9072599721227728,1.2802876670202838,1.4031695486735656,1.1630368797710369
glm-5.2,zh,2.812131850805014,1.510292077241722,1.5292882260309102,0.8129712814361957,1.4601178232890708
gpt-oss:120b,zh,3.1336399679302844,1.891326210270948,1.9193166051300388,1.2650928950108968,1.3662903771102584
gpt-oss:20b,zh,1.8744205229490802,1.8197983812755136,1.0221852598627739,1.3780639490043698,0.9599136691920246
kimi-k2.6,zh,2.576048773143399,1.8751816745371979,1.31262836368058,1.2432980693207987,1.4126245154280992
kimi-k2.7-code,zh,2.369701903019055,1.9894396947043536,1.2626981230694674,1.4351643495575221,1.2380139446146454
minimax-m2.7,zh,2.3035324103162806,1.2377419434689445,1.0908761059146812,0.6188277992335879,1.361466132718522
minimax-m3,zh,1.6989163596004286,1.601398376899589,0.5585381526083284,1.0485181389266398,1.267335398591684
mistral-large-3:675b,zh,2.602600583168607,2.0283916017430914,1.3711199262800788,1.352521506400373,1.4047579841628153
nemotron-3-nano:30b,zh,2.086257959742006,1.7228351059550957,1.3836779014224678,1.3569088312892752,0.7921620900037387
nemotron-3-super,zh,2.233522857258089,1.9168861819827265,1.0586439635362477,1.3283728528617738,1.314035141640468
nemotron-3-ultra,zh,2.3426165986962024,1.7302454476205225,1.1712889739220054,1.1178846422092277,1.3217390667462061
qwen3.5:397b,zh,2.4339453444244183,1.4838528777299544,1.2903463601875302,0.9470517053471592,1.2633186990697105
