llm,language,observed,variant_mean,cell_mean,unfillable
deepseek-v4-flash,en,500,0,0,0
deepseek-v4-flash,zh,500,0,0,0
deepseek-v4-flash:0731,en,500,0,0,0
deepseek-v4-flash:0731,zh,500,0,0,0
deepseek-v4-pro,en,500,0,0,0
deepseek-v4-pro,zh,500,0,0,0
gemma4:31b,en,472,8,20,0
gemma4:31b,zh,496,4,0,0
glm-5.1,en,500,0,0,0
glm-5.1,zh,500,0,0,0
glm-5.2,en,499,1,0,0
glm-5.2,zh,500,0,0,0
gpt-oss:120b,en,490,10,0,0
gpt-oss:120b,zh,485,15,0,0
gpt-oss:20b,en,500,0,0,0
gpt-oss:20b,zh,499,1,0,0
kimi-k2.6,en,500,0,0,0
kimi-k2.6,zh,500,0,0,0
kimi-k2.7-code,en,500,0,0,0
kimi-k2.7-code,zh,500,0,0,0
minimax-m2.7,en,500,0,0,0
minimax-m2.7,zh,499,1,0,0
minimax-m3,en,500,0,0,0
minimax-m3,zh,481,19,0,0
mistral-large-3:675b,en,500,0,0,0
mistral-large-3:675b,zh,500,0,0,0
nemotron-3-nano:30b,en,499,1,0,0
nemotron-3-nano:30b,zh,498,2,0,0
nemotron-3-super,en,500,0,0,0
nemotron-3-super,zh,499,1,0,0
nemotron-3-ultra,en,460,35,5,0
nemotron-3-ultra,zh,412,48,40,0
qwen3.5:397b,en,497,3,0,0
qwen3.5:397b,zh,499,1,0,0
