family,llm,language,n_members_in_arm,pc1,pc2,family_mean_pc1,family_mean_pc2,dist_to_family_mean,zh_minus_en_pc1,zh_minus_en_pc2,zh_en_displacement
deepseek,deepseek-v4-flash,en,3,1.5415195685875012,1.3243355417684464,1.7505236526448915,1.3637953756131778,0.21269646362768352,,,
deepseek,deepseek-v4-flash,zh,3,1.607701942433236,1.7341140977222569,2.1386477965709734,1.6445146401873068,0.5384529346345963,0.06618237384573478,0.4097785559538105,0.41508863093012655
deepseek,deepseek-v4-flash:0731,en,3,2.42177224584806,0.7557091943728838,1.7505236526448915,1.3637953756131778,0.9057281477864295,,,
deepseek,deepseek-v4-flash:0731,zh,3,3.143248171930246,1.031236826623571,2.1386477965709734,1.6445146401873068,1.1770011005863619,0.7214759260821859,0.2755276322506872,0.7722972148401273
deepseek,deepseek-v4-pro,en,3,1.2882791434991132,2.0113413906982034,1.7505236526448915,1.3637953756131778,0.7956040647758895,,,
deepseek,deepseek-v4-pro,zh,3,1.6649932753494379,2.1681929962160926,2.1386477965709734,1.6445146401873068,0.7061073757203035,0.37671413185032465,0.15685160551788924,0.4080636755327327
gemma,gemma4:31b,en,1,2.1629479600887374,2.076016862027181,2.1629479600887374,2.076016862027181,0.0,,,
gemma,gemma4:31b,zh,1,2.728447313994478,1.492080111850104,2.728447313994478,1.492080111850104,0.0,0.5654993539057407,-0.5839367501770769,0.8128786179222431
glm,glm-5.1,en,2,1.7153130222784143,1.7599601191933716,2.1146438783366652,1.2717455498903223,0.6307286249093008,,,
glm,glm-5.1,zh,2,2.328403895639204,1.9072599721227728,2.570267873222109,1.7087760246822474,0.31288026630613397,0.6130908733607896,0.14729985292940118,0.6305376005214273
glm,glm-5.2,en,2,2.513974734394916,0.7835309805872729,2.1146438783366652,1.2717455498903223,0.6307286249093009,,,
glm,glm-5.2,zh,2,2.812131850805014,1.510292077241722,2.570267873222109,1.7087760246822474,0.31288026630613364,0.2981571164100978,0.7267610966544492,0.7855439883777116
gpt-oss,gpt-oss:120b,en,2,2.8637024801534885,2.0191205793136646,2.674952582839928,1.7457029825073165,0.332240433992069,,,
gpt-oss,gpt-oss:120b,zh,2,3.1336399679302844,1.891326210270948,2.504030245439682,1.8555622957732307,0.6306246587589905,0.26993748777679594,-0.12779436904271657,0.29865975300711994
gpt-oss,gpt-oss:20b,en,2,2.4862026855263677,1.4722853857009681,2.674952582839928,1.7457029825073165,0.3322404339920692,,,
gpt-oss,gpt-oss:20b,zh,2,1.8744205229490802,1.8197983812755136,2.504030245439682,1.8555622957732307,0.6306246587589901,-0.6117821625772875,0.3475129955745455,0.7035927064296053
kimi,kimi-k2.6,en,2,1.6915379191568296,1.7709077471389618,1.743395922827096,1.7349506732958861,0.06310438735953128,,,
kimi,kimi-k2.6,zh,2,2.576048773143399,1.8751816745371979,2.472875338081227,1.9323106846207758,0.11793422529383817,0.8845108539865696,0.10427392739823604,0.890636010250598
kimi,kimi-k2.7-code,en,2,1.7952539264973626,1.6989935994528105,1.743395922827096,1.7349506732958861,0.06310438735953128,,,
kimi,kimi-k2.7-code,zh,2,2.369701903019055,1.9894396947043536,2.472875338081227,1.9323106846207758,0.11793422529383807,0.5744479765216925,0.2904460952515431,0.6436997840427907
minimax,minimax-m2.7,en,2,1.8512469402103227,1.3687590295309522,1.4651407573194588,1.39462308186855,0.386971489479361,,,
minimax,minimax-m2.7,zh,2,2.3035324103162806,1.2377419434689445,2.0012243849583546,1.4195701601842667,0.3527770437396439,0.452285470105958,-0.13101708606200768,0.47087962719695886
minimax,minimax-m3,en,2,1.079034574428595,1.420487134206148,1.4651407573194588,1.39462308186855,0.386971489479361,,,
minimax,minimax-m3,zh,2,1.6989163596004286,1.601398376899589,2.0012243849583546,1.4195701601842667,0.3527770437396439,0.6198817851718337,0.18091124269344094,0.6457416707327354
mistral,mistral-large-3:675b,en,1,1.0948573013944747,2.0891515767981454,1.0948573013944747,2.0891515767981454,0.0,,,
mistral,mistral-large-3:675b,zh,1,2.602600583168607,2.0283916017430914,2.602600583168607,2.0283916017430914,0.0,1.5077432817741323,-0.06075997505505404,1.5089670567324263
nemotron,nemotron-3-nano:30b,en,3,1.9244421823661124,1.6478678191519498,1.9589859735146693,1.6450516711142746,0.03465839287510629,,,
nemotron,nemotron-3-nano:30b,zh,3,2.086257959742006,1.7228351059550957,2.220799138565433,1.7899889118527816,0.15036941991555788,0.1618157773758937,0.0749672868031459,0.1783379934236951
nemotron,nemotron-3-super,en,3,1.773805953366796,1.647273751692758,1.9589859735146693,1.6450516711142746,0.18519335167349832,,,
nemotron,nemotron-3-super,zh,3,2.233522857258089,1.9168861819827265,2.220799138565433,1.7899889118527816,0.12753356493018636,0.45971690389129316,0.2696124302899685,0.5329451137690068
nemotron,nemotron-3-ultra,en,3,2.1787097848110997,1.6400134424981156,1.9589859735146693,1.6450516711142746,0.2197815665569295,,,
nemotron,nemotron-3-ultra,zh,3,2.3426165986962024,1.7302454476205225,2.220799138565433,1.7899889118527816,0.13567894129592425,0.16390681388510275,0.09023200512240681,0.18710226718662648
qwen,qwen3.5:397b,en,1,1.7054025926161374,1.781020841045909,1.7054025926161374,1.781020841045909,0.0,,,
qwen,qwen3.5:397b,zh,1,2.4339453444244183,1.4838528777299544,2.4339453444244183,1.4838528777299544,0.0,0.728542751808281,-0.2971679633159545,0.786818492178301
