llm,dist_human_mean,dist_human_mean_lo,dist_human_mean_hi,pct_countries_closer,min_dist_nonwestern,min_dist_nonwestern_lo,min_dist_nonwestern_hi
dolphin-llama3:8b,2.9308839525241943,2.694526919901721,3.168674055666163,0.9758715596330279,2.2266419221303253,1.99101636216086,2.451426841186155
dolphin-mistral:7b,2.517962115437913,2.2922113236329817,2.7570313869488996,0.9602201834862384,1.9952192604890806,1.7421414884636388,2.2402183580403405
dolphin-mixtral:8x7b,2.4620309059246726,2.250607614741722,2.6637355926782305,0.9563302752293577,2.020580835421625,1.8024851857358453,2.2452335188923653
gemma2:27b,2.9716813543546086,2.8533196041736546,3.100865473326377,0.9762935779816516,2.286059377910303,2.156224461067028,2.423413916505132
llama2-chinese:13b [zh],2.466318510254431,2.1718225066350896,2.7280239219741254,0.9541100917431191,1.6876193050411017,1.4004236508993069,1.9491913897668647
llama3:70b,2.644956934875969,2.5314505177365754,2.7545056809715756,0.9679266055045873,1.9396414153563695,1.8053761377704607,2.0619559258351354
mistral:7b,2.991882925591474,2.8778770639997537,3.111453949645003,0.9774862385321103,2.5318679878345156,2.418747157393016,2.6465288687490616
qwen2:7b,2.777234236042274,2.621259281575077,2.9286402104707996,0.9721376146788995,1.9914400661528187,1.8393718905083725,2.1463071764725923
qwen2:7b [zh],2.562836807888112,2.3852870089848874,2.763915573789296,0.9635412844036696,2.203366394897914,1.9701128922401334,2.475458317699034
wangrongsheng/llama3-70b-chinese-chat,2.5566228718831634,2.345356841347482,2.779651005236385,0.9629816513761466,2.0469823901789863,1.835300692271747,2.2743639585293605
wangshenzhi/gemma2-27b-chinese-chat [zh],2.9744036921560424,2.7700676624799945,3.1820223635434455,0.9774403669724774,2.1526228061494623,1.9515394165261273,2.356689606229673
