llm,cohort,delta_pc1,delta_pc1_lo,delta_pc1_hi,delta_pc2,delta_pc2_lo,delta_pc2_hi,displacement,displacement_lo,displacement_hi
deepseek-v4-flash,Chinese,0.06891729206637115,-0.39723036468021844,0.5335043638066337,0.41038451737404985,0.13167550431976177,0.6746907927436431,0.4748127572984207,0.22871543780923978,0.8154010305449337
deepseek-v4-flash:0731,Chinese,0.7223455969237799,0.1490787176367569,1.3102231819950076,0.27567151252903505,-0.06768428931876597,0.62334016794709,0.8072880427235061,0.32797372620710613,1.3316696404121269
deepseek-v4-pro,Chinese,0.3751605836175857,0.018449697567986274,0.7179041162426287,0.15263494100602307,-0.41097737321614264,0.6226503241741116,0.4758998781375605,0.13400169820964017,0.9088595888069843
gemma4:31b,Western,0.5664055701866303,0.09553234844854294,1.0765668828675472,-0.5852835926896615,-0.8504812747787818,-0.3148251138710575,0.8262473569410776,0.3744864069145765,1.359737516672746
glm-5.1,Chinese,0.6090261292204463,0.12672489046491306,1.0746477280541022,0.14367885610687198,-0.40743081945388676,0.6696834472402826,0.6803588479978869,0.2412719441431083,1.2159058961446556
glm-5.2,Chinese,0.29415518962198023,-0.4781781307869785,1.0640990262702064,0.7293003097017262,0.32508377846433073,1.1897987742684941,0.8696634135714352,0.4075583210842021,1.4578634294677677
gpt-oss:120b,Western,0.2697264588708469,0.02182929281418321,0.5312600381597383,-0.12776368028390567,-0.30161661183360516,0.05166191642904957,0.3208810383023547,0.12915910801295968,0.5482284400304889
gpt-oss:20b,Western,-0.6112927586313094,-0.8732071840918726,-0.33220954139439096,0.34513178277685186,0.06463397000342724,0.6107701496412339,0.7182441335368007,0.4775698428763667,0.9561240270773624
kimi-k2.6,Chinese,0.8806054560391477,0.36167587898670145,1.3872215920772744,0.10165363883066277,-0.20682728805519937,0.3950723629815898,0.8986446400152798,0.39829733429683595,1.433414482712123
kimi-k2.7-code,Chinese,0.5739191644181596,-0.03084697391527058,1.1380049610833922,0.29275830469775854,-0.08950589693605054,0.6686697076323809,0.6674095823010996,0.1114785577222566,1.288123420716988
minimax-m2.7,Chinese,0.453369494888034,0.15324210340545058,0.7279403128075891,-0.13250717730258676,-0.316816880633688,0.051695825862564,0.481919709581931,0.1799640626727201,0.7522334311932266
minimax-m3,Chinese,0.6241295581404144,0.27095858132048006,0.9621777275967552,0.1809960059918908,-0.1455330648820219,0.4956606652045454,0.6736833688117122,0.36170805324606115,0.9881275431929949
mistral-large-3:675b,Western,1.5093239692601068,0.8857703937169262,2.036311489739947,-0.05861619363950831,-0.29899372442723576,0.15934901079812608,1.516048475192994,0.9115664927438193,2.0391446514315543
nemotron-3-nano:30b,Western,0.16221093165952144,-0.14309819688700706,0.45755622957518427,0.07369672445093078,-0.2228253817099745,0.39220377402907025,0.25918319820373936,0.06328951002921776,0.5039667949833894
nemotron-3-super,Western,0.45484341581081605,-0.09026020244916338,0.9791134038785475,0.26848946530457246,0.03336200539471507,0.514230718890722,0.5522058266476126,0.11110236697838477,1.0697702564053935
qwen3.5:397b,Chinese,0.7275379485559265,0.45064084084472317,0.997934502050311,-0.2972648373635351,-0.5770658716626138,-0.02370751342152376,0.8044920198195654,0.620196726675822,1.009704456183213
