llm,cohort,family,delta_pc1,delta_pc2,displacement_plugin,displacement_lo,displacement_hi,displacement_paired_norm_mean
deepseek-v4-flash,Chinese,deepseek,0.0689172920663711,0.4103845173740498,0.4161310433578506,0.2287154378092397,0.8154010305449337,0.4748127572984207
deepseek-v4-flash:0731,Chinese,deepseek,0.7223455969237799,0.275671512529035,0.7731610079506194,0.3279737262071061,1.3316696404121269,0.8072880427235061
deepseek-v4-pro,Chinese,deepseek,0.3751605836175857,0.152634941006023,0.4050220842326992,0.1340016982096401,0.9088595888069844,0.4758998781375605
gemma4:31b,Western,gemma,0.5664055701866303,-0.5852835926896615,0.8144766134212568,0.3744864069145765,1.359737516672746,0.8262473569410776
glm-5.1,Chinese,glm,0.6090261292204463,0.1436788561068719,0.6257447081401639,0.2412719441431083,1.2159058961446556,0.6803588479978869
glm-5.2,Chinese,glm,0.2941551896219802,0.7293003097017262,0.7863880831450696,0.4075583210842021,1.4578634294677677,0.8696634135714352
gpt-oss:120b,Western,gpt-oss,0.2697264588708469,-0.1277636802839056,0.29845589391850635,0.1291591080129596,0.5482284400304889,0.3208810383023547
gpt-oss:20b,Western,gpt-oss,-0.6112927586313094,0.3451317827768518,0.7019934360361244,0.4775698428763667,0.9561240270773624,0.7182441335368007
kimi-k2.6,Chinese,kimi,0.8806054560391477,0.1016536388306627,0.8864532878236902,0.3982973342968359,1.433414482712123,0.8986446400152798
kimi-k2.7-code,Chinese,kimi,0.5739191644181596,0.2927583046977585,0.6442752767691341,0.1114785577222566,1.288123420716988,0.6674095823010996
minimax-m2.7,Chinese,minimax,0.453369494888034,-0.1325071773025867,0.4723367981977799,0.1799640626727201,0.7522334311932266,0.481919709581931
minimax-m3,Chinese,minimax,0.6241295581404144,0.1809960059918908,0.6498440270784717,0.3617080532460611,0.9881275431929948,0.6736833688117122
mistral-large-3:675b,Western,mistral,1.5093239692601068,-0.0586161936395083,1.510461751366074,0.9115664927438192,2.0391446514315543,1.516048475192994
nemotron-3-nano:30b,Western,nemotron,0.1622109316595214,0.0736967244509307,0.1781673189579008,0.0632895100292177,0.5039667949833894,0.2591831982037393
nemotron-3-super,Western,nemotron,0.454843415810816,0.2684894653045724,0.5281752795104918,0.1111023669783847,1.0697702564053937,0.5522058266476126
qwen3.5:397b,Chinese,qwen,0.7275379485559265,-0.2972648373635351,0.785924837450589,0.620196726675822,1.009704456183213,0.8044920198195654
