llm,language,cohort,calls,parsed,parse_rate,min_per_question
deepseek-v4-flash:0731,en,Chinese,500,500,1.0,50
deepseek-v4-flash:0731,zh,Chinese,500,500,1.0,50
deepseek-v4-flash,en,Chinese,500,500,1.0,50
deepseek-v4-flash,zh,Chinese,500,500,1.0,50
deepseek-v4-pro,en,Chinese,500,500,1.0,50
deepseek-v4-pro,zh,Chinese,500,500,1.0,50
gemma4:31b,en,Western,500,472,0.944,27
gemma4:31b,zh,Western,500,496,0.992,46
glm-5.1,en,Chinese,500,500,1.0,50
glm-5.1,zh,Chinese,500,500,1.0,50
glm-5.2,en,Chinese,500,499,0.998,49
glm-5.2,zh,Chinese,500,500,1.0,50
gpt-oss:120b,en,Western,500,490,0.98,41
gpt-oss:120b,zh,Western,500,485,0.97,38
gpt-oss:20b,en,Western,500,500,1.0,50
gpt-oss:20b,zh,Western,500,499,0.998,49
kimi-k2.6,en,Chinese,500,500,1.0,50
kimi-k2.6,zh,Chinese,500,500,1.0,50
kimi-k2.7-code,en,Chinese,500,500,1.0,50
kimi-k2.7-code,zh,Chinese,500,500,1.0,50
minimax-m2.7,en,Chinese,500,500,1.0,50
minimax-m2.7,zh,Chinese,500,499,0.998,49
minimax-m3,en,Chinese,500,500,1.0,50
minimax-m3,zh,Chinese,500,481,0.962,37
mistral-large-3:675b,en,Western,500,500,1.0,50
mistral-large-3:675b,zh,Western,500,500,1.0,50
nemotron-3-nano:30b,en,Western,500,499,0.998,49
nemotron-3-nano:30b,zh,Western,500,498,0.996,48
nemotron-3-super,en,Western,500,500,1.0,50
nemotron-3-super,zh,Western,500,499,0.998,49
nemotron-3-ultra,en,Western,500,460,0.92,29
nemotron-3-ultra,zh,Western,500,412,0.824,4
qwen3.5:397b,en,Chinese,500,497,0.994,47
qwen3.5:397b,zh,Chinese,500,499,0.998,49
