llm,svm_region,positional_stability,svm_runner_up,svm_runner_up_share,svm_share_vector,centroid_region,rules_agree,svm_cv_accuracy
dolphin-llama3:8b,Protestant Europe,0.999,Confucian,0.001,"{'Protestant Europe': 0.999, 'Confucian': 0.001}",Protestant Europe,True,0.5692640692640693
dolphin-mistral:7b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
dolphin-mixtral:8x7b,Protestant Europe,0.996,English-Speaking,0.004,"{'Protestant Europe': 0.996, 'English-Speaking': 0.004}",Protestant Europe,True,0.5692640692640693
gemma2:27b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
llama2-chinese:13b [zh],Confucian,0.845,Protestant Europe,0.136,"{'Confucian': 0.845, 'Protestant Europe': 0.136, 'Catholic Europe': 0.019}",Protestant Europe,False,0.5692640692640693
llama3:70b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
mistral:7b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
qwen2:7b,Confucian,0.895,Protestant Europe,0.105,"{'Confucian': 0.895, 'Protestant Europe': 0.105}",Protestant Europe,False,0.5692640692640693
qwen2:7b [zh],Protestant Europe,0.965,English-Speaking,0.035,"{'Protestant Europe': 0.965, 'English-Speaking': 0.035}",Protestant Europe,True,0.5692640692640693
wangrongsheng/llama3-70b-chinese-chat,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
wangshenzhi/gemma2-27b-chinese-chat [zh],Confucian,0.999,Protestant Europe,0.001,"{'Confucian': 0.999, 'Protestant Europe': 0.001}",Protestant Europe,False,0.5692640692640693
