llm,svm_region,positional_stability,svm_runner_up,svm_runner_up_share,svm_share_vector,centroid_region,rules_agree,svm_cv_accuracy
deepseek-v4-flash,Catholic Europe,0.671,Protestant Europe,0.329,"{'Catholic Europe': 0.671, 'Protestant Europe': 0.329}",English-Speaking,False,0.5692640692640693
deepseek-v4-flash [zh],Confucian,0.4861,Catholic Europe,0.3431,"{'Confucian': 0.486, 'Catholic Europe': 0.343, 'Protestant Europe': 0.171}",Protestant Europe,False,0.5692640692640693
deepseek-v4-flash:0731,English-Speaking,0.6281,Protestant Europe,0.2774,"{'English-Speaking': 0.628, 'Protestant Europe': 0.277, 'Catholic Europe': 0.094}",Protestant Europe,False,0.5692640692640693
deepseek-v4-flash:0731 [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
deepseek-v4-pro,Confucian,1.0,,0.0,{'Confucian': 1.0},Confucian,True,0.5692640692640693
deepseek-v4-pro [zh],Confucian,0.953,Protestant Europe,0.0463,"{'Confucian': 0.953, 'Protestant Europe': 0.046, 'Catholic Europe': 0.001}",Protestant Europe,False,0.5692640692640693
gemma4:31b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
gemma4:31b [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
glm-5.1,Catholic Europe,0.4632,Protestant Europe,0.3861,"{'Catholic Europe': 0.463, 'Protestant Europe': 0.386, 'Confucian': 0.151}",Protestant Europe,False,0.5692640692640693
glm-5.1 [zh],Protestant Europe,0.9969,Catholic Europe,0.0029,"{'Protestant Europe': 0.997, 'Catholic Europe': 0.003, 'Confucian': 0.0}",Protestant Europe,True,0.5692640692640693
glm-5.2,English-Speaking,0.4628,Protestant Europe,0.4393,"{'English-Speaking': 0.463, 'Protestant Europe': 0.439, 'Catholic Europe': 0.098}",Protestant Europe,False,0.5692640692640693
glm-5.2 [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
gpt-oss:120b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
gpt-oss:120b [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
gpt-oss:20b,Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
gpt-oss:20b [zh],Protestant Europe,0.7389,Catholic Europe,0.2367,"{'Protestant Europe': 0.739, 'Catholic Europe': 0.237, 'Confucian': 0.024}",Protestant Europe,True,0.5692640692640693
kimi-k2.6,Catholic Europe,0.3802,Confucian,0.3129,"{'Catholic Europe': 0.38, 'Confucian': 0.313, 'Protestant Europe': 0.307}",Protestant Europe,False,0.5692640692640693
kimi-k2.6 [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
kimi-k2.7-code,Protestant Europe,0.6102,Catholic Europe,0.3765,"{'Protestant Europe': 0.61, 'Catholic Europe': 0.376, 'Confucian': 0.013}",Protestant Europe,True,0.5692640692640693
kimi-k2.7-code [zh],Protestant Europe,0.9874,Catholic Europe,0.0121,"{'Protestant Europe': 0.987, 'Catholic Europe': 0.012, 'Confucian': 0.0}",Protestant Europe,True,0.5692640692640693
minimax-m2.7,Protestant Europe,0.9984,Catholic Europe,0.0016,"{'Protestant Europe': 0.998, 'Catholic Europe': 0.002}",Protestant Europe,True,0.5692640692640693
minimax-m2.7 [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
minimax-m3,Confucian,0.6414,Catholic Europe,0.3583,"{'Confucian': 0.641, 'Catholic Europe': 0.358, 'Protestant Europe': 0.0}",Confucian,True,0.5692640692640693
minimax-m3 [zh],Protestant Europe,0.568,Catholic Europe,0.345,"{'Protestant Europe': 0.568, 'Catholic Europe': 0.345, 'Confucian': 0.087}",Protestant Europe,True,0.5692640692640693
mistral-large-3:675b,Confucian,0.9975,Protestant Europe,0.0025,"{'Confucian': 0.998, 'Protestant Europe': 0.002}",Confucian,True,0.5692640692640693
mistral-large-3:675b [zh],Protestant Europe,0.9999,Catholic Europe,0.0001,"{'Protestant Europe': 1.0, 'Catholic Europe': 0.0}",Protestant Europe,True,0.5692640692640693
nemotron-3-nano:30b,Protestant Europe,0.9335,Catholic Europe,0.0624,"{'Protestant Europe': 0.934, 'Catholic Europe': 0.062, 'Confucian': 0.004}",Protestant Europe,True,0.5692640692640693
nemotron-3-nano:30b [zh],Protestant Europe,0.969,Catholic Europe,0.0228,"{'Protestant Europe': 0.969, 'Catholic Europe': 0.023, 'Confucian': 0.008}",Protestant Europe,True,0.5692640692640693
nemotron-3-super,Protestant Europe,0.6186,Catholic Europe,0.3534,"{'Protestant Europe': 0.619, 'Catholic Europe': 0.353, 'Confucian': 0.028}",Protestant Europe,True,0.5692640692640693
nemotron-3-super [zh],Protestant Europe,0.998,Catholic Europe,0.002,"{'Protestant Europe': 0.998, 'Catholic Europe': 0.002}",Protestant Europe,True,0.5692640692640693
nemotron-3-ultra,Protestant Europe,0.9992,Catholic Europe,0.0008,"{'Protestant Europe': 0.999, 'Catholic Europe': 0.001}",Protestant Europe,True,0.5692640692640693
qwen3.5:397b,Catholic Europe,0.4504,Protestant Europe,0.2813,"{'Catholic Europe': 0.45, 'Protestant Europe': 0.281, 'Confucian': 0.268}",Protestant Europe,False,0.5692640692640693
qwen3.5:397b [zh],Protestant Europe,1.0,,0.0,{'Protestant Europe': 1.0},Protestant Europe,True,0.5692640692640693
